"Sale_ID";"Product";"Quantity";"Price_per_Unit";"Sale_Date";"Customer_Region";"Region";"Manager"
1;"Phone";8;1023.88;"2023-01-15";"East";"East";"Charlie"
2;"Monitor";1;1002.67;"2023-12-31";"North";"North";"Alice"
3;"Tablet";7;395.44;"2023-06-30";"North";"North";"Alice"
4;"Keyboard";5;523.77;"2023-08-02";"West";"West";"David"
5;"Laptop";7;1355.89;"2023-08-30";"West";"West";"David"
6;"Tablet";4;503.0;"2023-02-11";"East";"East";"Charlie"
7;"Phone";4;1291.85;"2023-07-18";"East";"East";"Charlie"
8;"Monitor";5;1363.06;"2023-07-01";"East";"East";"Charlie"
9;"Keyboard";2;640.74;"2023-07-16";"South";"South";"Bob"
10;"Phone";5;985.32;"2023-01-12";"East";"East";"Charlie"
11;"Phone";4;729.53;"2023-02-24";"South";"South";"Bob"
12;"Keyboard";8;441.36;"2023-03-07";"North";"North";"Alice"
13;"Keyboard";7;349.77;"2023-08-15";"North";"North";"Alice"
14;"Phone";7;1067.62;"2023-09-17";"West";"West";"David"
15;"Keyboard";2;1410.93;"2023-03-12";"North";"North";"Alice"
16;"Keyboard";3;1103.16;"2023-08-27";"South";"South";"Bob"
17;"Monitor";6;706.76;"2023-12-30";"East";"East";"Charlie"
18;"Tablet";5;264.07;"2023-07-04";"South";"South";"Bob"
19;"Monitor";7;619.74;"2023-10-06";"South";"South";"Bob"
20;"Monitor";1;113.18;"2023-01-28";"North";"North";"Alice"
21;"Keyboard";3;453.22;"2023-04-10";"West";"West";"David"
22;"Phone";9;1148.33;"2023-02-14";"West";"West";"David"
23;"Keyboard";1;1236.0;"2023-12-24";"North";"North";"Alice"
24;"Monitor";5;1240.62;"2023-01-26";"West";"West";"David"
25;"Phone";6;1277.33;"2023-01-16";"East";"East";"Charlie"
26;"Monitor";7;1358.36;"2023-03-28";"West";"West";"David"
27;"Phone";2;538.22;"2023-05-14";"South";"South";"Bob"
28;"Monitor";6;1258.72;"2023-06-16";"North";"North";"Alice"
29;"Phone";4;363.26;"2023-03-20";"West";"West";"David"
30;"Keyboard";7;200.28;"2023-04-25";"West";"West";"David"
31;"Laptop";3;88.42;"2023-07-21";"North";"North";"Alice"
32;"Monitor";4;395.2;"2023-11-29";"West";"West";"David"
33;"Keyboard";8;837.87;"2023-05-07";"North";"North";"Alice"
34;"Monitor";4;1239.18;"2023-02-25";"North";"North";"Alice"
35;"Monitor";8;1003.65;"2023-03-30";"West";"West";"David"
36;"Monitor";2;1040.31;"2023-05-02";"North";"North";"Alice"
37;"Monitor";3;799.05;"2023-05-07";"North";"North";"Alice"
38;"Monitor";6;191.93;"2023-09-08";"North";"North";"Alice"
39;"Tablet";5;578.81;"2023-07-30";"East";"East";"Charlie"
40;"Tablet";6;889.58;"2023-02-04";"North";"North";"Alice"
41;"Laptop";9;1106.3;"2023-04-15";"East";"East";"Charlie"
42;"Tablet";9;290.26;"2023-03-07";"South";"South";"Bob"
43;"Laptop";5;335.27;"2023-07-03";"South";"South";"Bob"
44;"Monitor";8;1080.95;"2023-09-23";"West";"West";"David"
45;"Keyboard";5;979.04;"2023-02-10";"West";"West";"David"
46;"Keyboard";2;1176.68;"2023-11-23";"West";"West";"David"
47;"Keyboard";7;1056.73;"2023-08-25";"South";"South";"Bob"
48;"Phone";1;982.0;"2023-06-26";"South";"South";"Bob"
49;"Laptop";8;1393.2;"2023-06-01";"North";"North";"Alice"
50;"Phone";8;1180.27;"2023-05-07";"East";"East";"Charlie"
51;"Keyboard";1;96.87;"2023-02-15";"North";"North";"Alice"
52;"Monitor";8;383.88;"2023-01-20";"West";"West";"David"
53;"Keyboard";7;508.59;"2023-01-03";"South";"South";"Bob"
54;"Laptop";4;110.53;"2023-10-30";"West";"West";"David"
55;"Tablet";9;180.61;"2023-03-26";"North";"North";"Alice"
56;"Laptop";7;121.54;"2023-03-21";"West";"West";"David"
57;"Phone";4;625.19;"2023-08-17";"East";"East";"Charlie"
58;"Laptop";2;1344.21;"2023-10-05";"East";"East";"Charlie"
59;"Tablet";5;307.78;"2023-09-23";"North";"North";"Alice"
60;"Phone";4;238.15;"2023-06-20";"South";"South";"Bob"
61;"Monitor";4;256.75;"2023-10-13";"West";"West";"David"
62;"Phone";5;570.74;"2023-09-06";"North";"North";"Alice"
63;"Tablet";2;256.65;"2023-09-21";"South";"South";"Bob"
64;"Keyboard";7;747.28;"2023-04-18";"West";"West";"David"
65;"Tablet";2;358.9;"2023-05-11";"North";"North";"Alice"
66;"Phone";3;1073.9;"2023-04-19";"West";"West";"David"
67;"Phone";7;1443.54;"2023-01-17";"East";"East";"Charlie"
68;"Keyboard";5;730.73;"2023-09-09";"East";"East";"Charlie"
69;"Tablet";1;527.09;"2023-03-04";"West";"West";"David"
70;"Monitor";7;784.01;"2023-05-23";"South";"South";"Bob"
71;"Monitor";1;201.58;"2023-11-28";"West";"West";"David"
72;"Phone";3;458.24;"2023-08-25";"East";"East";"Charlie"
73;"Keyboard";5;1274.34;"2023-04-28";"South";"South";"Bob"
74;"Tablet";9;1257.43;"2023-04-02";"South";"South";"Bob"
75;"Phone";4;794.64;"2023-12-21";"North";"North";"Alice"
76;"Phone";1;277.92;"2023-01-17";"North";"North";"Alice"
77;"Tablet";7;683.03;"2023-06-07";"West";"West";"David"
78;"Phone";2;122.14;"2023-12-13";"North";"North";"Alice"
79;"Keyboard";2;493.23;"2023-11-28";"South";"South";"Bob"
80;"Monitor";7;1336.81;"2023-05-27";"East";"East";"Charlie"
81;"Laptop";1;706.63;"2023-01-03";"West";"West";"David"
82;"Laptop";1;911.74;"2023-04-06";"East";"East";"Charlie"
83;"Phone";3;414.91;"2023-07-25";"South";"South";"Bob"
84;"Phone";9;854.78;"2023-06-19";"North";"North";"Alice"
85;"Laptop";3;756.02;"2023-04-22";"East";"East";"Charlie"
86;"Monitor";7;1251.66;"2023-10-04";"North";"North";"Alice"
87;"Monitor";9;576.32;"2023-12-05";"North";"North";"Alice"
88;"Monitor";6;501.42;"2023-11-01";"North";"North";"Alice"
89;"Tablet";6;1137.19;"2023-07-02";"West";"West";"David"
90;"Keyboard";1;445.76;"2023-04-26";"North";"North";"Alice"
91;"Monitor";1;1492.99;"2023-07-16";"East";"East";"Charlie"
92;"Phone";5;1045.22;"2023-06-19";"South";"South";"Bob"
93;"Tablet";9;132.72;"2023-09-29";"East";"East";"Charlie"
94;"Laptop";3;533.59;"2023-08-10";"South";"South";"Bob"
95;"Tablet";8;618.09;"2023-10-09";"North";"North";"Alice"
96;"Tablet";4;294.68;"2023-12-25";"North";"North";"Alice"
97;"Keyboard";2;244.07;"2023-02-10";"East";"East";"Charlie"
98;"Tablet";3;1069.7;"2023-02-13";"North";"North";"Alice"
99;"Laptop";6;1245.04;"2023-06-10";"West";"West";"David"
100;"Laptop";8;999.26;"2023-02-25";"North";"North";"Alice"
101;"Phone";7;573.68;"2023-08-07";"South";"South";"Bob"
102;"Keyboard";2;1064.93;"2023-10-13";"West";"West";"David"
103;"Phone";3;339.82;"2023-07-17";"West";"West";"David"
104;"Monitor";6;605.11;"2023-09-25";"West";"West";"David"
105;"Tablet";5;1246.55;"2023-04-17";"North";"North";"Alice"
106;"Tablet";2;566.75;"2023-11-11";"North";"North";"Alice"
107;"Keyboard";6;1373.0;"2023-07-15";"South";"South";"Bob"
108;"Laptop";1;440.9;"2023-06-08";"East";"East";"Charlie"
109;"Tablet";1;645.35;"2023-02-16";"East";"East";"Charlie"
110;"Laptop";4;1384.47;"2023-10-17";"East";"East";"Charlie"
111;"Laptop";3;331.44;"2023-03-17";"West";"West";"David"
112;"Monitor";1;1036.87;"2023-11-26";"West";"West";"David"
113;"Laptop";4;1349.85;"2023-11-18";"South";"South";"Bob"
114;"Laptop";3;1271.16;"2023-09-10";"North";"North";"Alice"
115;"Tablet";6;1169.72;"2023-12-02";"West";"West";"David"
116;"Tablet";1;852.49;"2023-08-08";"East";"East";"Charlie"
117;"Monitor";8;1111.77;"2023-07-26";"West";"West";"David"
118;"Monitor";8;472.04;"2023-04-11";"South";"South";"Bob"
119;"Laptop";2;154.81;"2023-08-21";"North";"North";"Alice"
120;"Laptop";3;1128.52;"2023-04-15";"West";"West";"David"
121;"Tablet";6;164.03;"2023-12-03";"North";"North";"Alice"
122;"Phone";3;467.9;"2023-06-10";"South";"South";"Bob"
123;"Keyboard";7;1124.09;"2023-08-11";"South";"South";"Bob"
124;"Phone";4;523.31;"2023-02-06";"East";"East";"Charlie"
125;"Tablet";5;993.92;"2023-02-22";"North";"North";"Alice"
126;"Keyboard";4;722.75;"2023-03-08";"East";"East";"Charlie"
127;"Keyboard";1;521.71;"2023-10-14";"North";"North";"Alice"
128;"Keyboard";2;50.47;"2023-02-25";"North";"North";"Alice"
129;"Laptop";9;1471.28;"2023-11-29";"West";"West";"David"
130;"Keyboard";4;975.76;"2023-12-11";"East";"East";"Charlie"
131;"Monitor";2;1319.53;"2023-02-25";"North";"North";"Alice"
132;"Monitor";6;723.84;"2023-02-14";"East";"East";"Charlie"
133;"Laptop";2;239.41;"2023-05-18";"South";"South";"Bob"
134;"Keyboard";9;1047.01;"2023-01-23";"South";"South";"Bob"
135;"Phone";7;1460.02;"2023-04-04";"South";"South";"Bob"
136;"Monitor";4;453.03;"2023-09-14";"West";"West";"David"
137;"Monitor";4;644.82;"2023-05-10";"North";"North";"Alice"
138;"Tablet";6;515.43;"2023-11-23";"South";"South";"Bob"
139;"Monitor";9;382.26;"2023-08-15";"South";"South";"Bob"
140;"Laptop";6;804.7;"2023-11-05";"North";"North";"Alice"
141;"Phone";8;199.91;"2023-07-06";"North";"North";"Alice"
142;"Monitor";7;1089.15;"2023-06-14";"South";"South";"Bob"
143;"Keyboard";5;78.41;"2023-12-01";"North";"North";"Alice"
144;"Laptop";5;396.8;"2023-09-04";"South";"South";"Bob"
145;"Keyboard";2;1474.73;"2023-06-23";"South";"South";"Bob"
146;"Laptop";3;343.54;"2023-12-13";"West";"West";"David"
147;"Phone";3;337.35;"2023-06-12";"North";"North";"Alice"
148;"Keyboard";5;238.14;"2023-12-08";"South";"South";"Bob"
149;"Monitor";3;283.04;"2023-07-07";"North";"North";"Alice"
150;"Phone";6;1258.86;"2023-12-16";"South";"South";"Bob"
151;"Keyboard";3;588.93;"2023-05-16";"South";"South";"Bob"
152;"Keyboard";8;419.97;"2023-09-05";"South";"South";"Bob"
153;"Keyboard";5;677.47;"2023-02-13";"East";"East";"Charlie"
154;"Tablet";8;416.44;"2023-07-04";"West";"West";"David"
155;"Phone";3;1420.13;"2023-02-03";"North";"North";"Alice"
156;"Keyboard";8;149.9;"2023-11-15";"North";"North";"Alice"
157;"Keyboard";3;1395.76;"2023-07-16";"North";"North";"Alice"
158;"Phone";5;1209.86;"2023-05-18";"North";"North";"Alice"
159;"Laptop";7;896.13;"2023-08-25";"North";"North";"Alice"
160;"Laptop";8;199.21;"2023-01-20";"North";"North";"Alice"
161;"Laptop";9;1416.7;"2023-01-03";"East";"East";"Charlie"
162;"Monitor";7;518.59;"2023-08-22";"East";"East";"Charlie"
163;"Tablet";9;1079.08;"2023-01-04";"East";"East";"Charlie"
164;"Laptop";2;283.62;"2023-10-08";"East";"East";"Charlie"
165;"Keyboard";2;1031.79;"2023-09-23";"East";"East";"Charlie"
166;"Laptop";2;1418.83;"2023-05-13";"East";"East";"Charlie"
167;"Monitor";9;645.61;"2023-08-30";"North";"North";"Alice"
168;"Tablet";8;794.01;"2023-02-13";"West";"West";"David"
169;"Keyboard";9;1323.98;"2023-11-27";"North";"North";"Alice"
170;"Tablet";4;124.35;"2023-02-11";"West";"West";"David"
171;"Phone";3;1310.07;"2023-05-29";"North";"North";"Alice"
172;"Laptop";6;457.9;"2023-04-28";"East";"East";"Charlie"
173;"Monitor";3;818.92;"2023-12-29";"West";"West";"David"
174;"Keyboard";2;846.85;"2023-07-04";"East";"East";"Charlie"
175;"Laptop";5;281.06;"2023-11-14";"North";"North";"Alice"
176;"Laptop";5;1189.4;"2023-01-20";"North";"North";"Alice"
177;"Keyboard";3;1040.0;"2023-04-12";"East";"East";"Charlie"
178;"Phone";9;729.45;"2023-03-27";"West";"West";"David"
179;"Phone";4;331.41;"2023-09-28";"East";"East";"Charlie"
180;"Monitor";7;52.03;"2023-06-19";"West";"West";"David"
181;"Laptop";6;818.9;"2023-01-28";"South";"South";"Bob"
182;"Laptop";7;1188.57;"2023-08-28";"South";"South";"Bob"
183;"Phone";2;402.57;"2023-12-21";"East";"East";"Charlie"
184;"Monitor";2;1350.66;"2023-09-09";"East";"East";"Charlie"
185;"Monitor";3;370.29;"2023-07-27";"East";"East";"Charlie"
186;"Phone";4;388.37;"2023-01-18";"East";"East";"Charlie"
187;"Phone";9;956.41;"2023-10-26";"West";"West";"David"
188;"Monitor";9;195.89;"2023-12-20";"West";"West";"David"
189;"Keyboard";9;451.29;"2023-05-24";"East";"East";"Charlie"
190;"Tablet";1;1375.6;"2023-04-05";"South";"South";"Bob"
191;"Tablet";1;1074.29;"2023-01-12";"East";"East";"Charlie"
192;"Monitor";3;1327.77;"2023-10-13";"South";"South";"Bob"
193;"Keyboard";2;1324.02;"2023-01-15";"East";"East";"Charlie"
194;"Keyboard";8;585.55;"2023-02-20";"North";"North";"Alice"
195;"Phone";5;147.75;"2023-09-02";"North";"North";"Alice"
196;"Phone";1;270.47;"2023-05-13";"East";"East";"Charlie"
197;"Laptop";5;455.8;"2023-05-31";"East";"East";"Charlie"
198;"Laptop";2;620.86;"2023-03-30";"East";"East";"Charlie"
199;"Keyboard";3;528.58;"2023-10-27";"West";"West";"David"
200;"Monitor";3;682.19;"2023-07-01";"South";"South";"Bob"
